codigo,cuenta,grupo,tipo,naturaleza,moneda,fondo,descripcion
1.0.00.00,ACTIVO,Activo,AC,D,Mixta,NA,Total de recursos económicos de la asociación.
1.1.00.00,ACTIVO CORRIENTE,Activo,AC,D,Mixta,NA,Bienes y derechos realizables en menos de un año.
1.1.01.00,DISPONIBILIDADES,Activo,AC,D,Mixta,NA,"Caja, bancos y valores de inmediata realización."
1.1.01.01,Caja Bs,Activo,AC,D,Bs,General,Efectivo en bolívares físico custodiado por el Tesorero.
1.1.01.02,Caja USD,Activo,AC,D,USD,General,Efectivo en divisas (dólares físicos) bajo custodia.
1.1.01.03,Banco Bs - Cuenta Corriente ASOPROMUF,Activo,AC,D,Bs,General,Cuenta corriente bancaria en bolívares a nombre de la asociación.
1.1.01.04,Banco USD - Cuenta Moneda Extranjera,Activo,AC,D,USD,General,Cuenta bancaria en moneda extranjera de la asociación.
1.1.01.05,Pago Móvil (Bs),Activo,AC,D,Bs,General,Recaudaciones vía pago móvil en bolívares.
1.1.01.06,Zelle (USD),Activo,AC,D,USD,General,Recaudaciones vía Zelle en dólares.
1.1.01.07,Binance - USDT,Activo,AC,D,USDT,General,Billetera cripto para resguardo multimoneda (Art. 6.d).
1.1.01.08,Zinli / Tarjeta Prepagada (USD),Activo,AC,D,USD,General,Billetera/tarjeta prepagada en dólares.
1.1.02.00,CUENTAS POR COBRAR,Activo,AC,D,Mixta,NA,"Derechos a cobrar por concepto de cuotas, avances y anticipos."
1.1.02.01,Cuotas de membresía por cobrar,Activo,AC,D,USDT,Membresia,Cuotas mensuales de agremiados pendientes de cobro (indexadas a USDT).
1.1.02.02,Aportes por cobrar a asociados,Activo,AC,D,USDT,General,Aportes extraordinarios acordados en Asamblea pendientes de cobro.
1.1.02.03,Anticipos a proveedores y contratistas,Activo,AC,D,Mixta,General,Anticipos entregados por servicios o bienes por recibir.
1.1.02.04,Avances a rendir (viáticos),Activo,AC,D,Mixta,General,Fondos entregados para gastos que deben rendirse con soportes.
1.1.02.05,Otras cuentas por cobrar,Activo,AC,D,Mixta,General,Otros derechos a cobrar no clasificados.
1.1.03.00,INVENTARIOS Y MATERIALES,Activo,AC,D,Mixta,NA,Existencias de materiales e insumos de la asociación.
1.1.03.01,Materiales e insumos musicales,Activo,AC,D,Mixta,General,"Cuerdas, accesorios e insumos de mantenimiento."
1.1.03.02,Material didáctico y publicaciones,Activo,AC,D,Mixta,General,"Libros, revistas y materiales gráficos para venta o distribución."
1.1.03.03,Instrumentos y equipos para la venta,Activo,AC,D,Mixta,General,Instrumentos/equipos adquiridos para comercialización (Art. 2 Estatutos).
1.1.04.00,FONDOS CON DESTINACIÓN ESPECÍFICA,Activo,AC,D,Mixta,NA,Los cuatro fondos del gremio (Art. 5 Reglamento Contraloría). Cada fondo es un subconjunto contable independiente.
1.1.04.01,Fondo Cuotas de Membresía - Bs,Activo,AC,D,Bs,Membresia,Recaudaciones de cuotas en bolívares por aplicar a fines del fondo.
1.1.04.02,Fondo Cuotas de Membresía - USD/USDT,Activo,AC,D,USD,Membresia,Recaudaciones de cuotas en divisas/crypto por aplicar a fines del fondo.
1.1.04.03,Fondo de Salud y Emergencias - Bs,Activo,AC,D,Bs,Salud,Recursos en bolívares del Fondo de Salud y Bienestar Social.
1.1.04.04,Fondo de Salud y Emergencias - USD/USDT,Activo,AC,D,USD,Salud,Resguardo en divisas/crypto del Fondo de Salud. Al menos 50% debe estar aquí (Art. 6.d Estatutos / Reglamento Contraloría Art. 5.2).
1.1.04.05,Fondo de Autogestión Gremial - Bs,Activo,AC,D,Bs,Autogestion,Excedentes de eventos propios de PROMUF en bolívares (Art. 6-A).
